id,name,show_id,count,percent
369,BB Sasore,81172740,1,0.014660606949127693
370,Babak Anvari,80096786,1,0.014660606949127693
371,Baljit Singh Deo,"80187618,81024716",2,0.029321213898255385
372,Baltasar Kormákur,80156405,1,0.014660606949127693
373,Balu Mahendra,70072558,1,0.014660606949127693
374,Banjong Pisanthanakun,"70062814,70142798,80102950,81016045",4,0.05864242779651077
375,Barak Goodman,"80169778,80172000,81135868",3,0.043981820847383085
376,Barbara Kopple,80079428,1,0.014660606949127693
377,Barbara Schroeder,80158319,1,0.014660606949127693
378,Barbra Streisand,80203522,1,0.014660606949127693
379,Barney Clay,80168033,1,0.014660606949127693
380,Barry Avrich,"80190585,81070008",2,0.029321213898255385
381,Barry Jenkins,80121348,1,0.014660606949127693
382,Barry Levinson,"793907,60029369",2,0.029321213898255385
383,Barry Sonnenfeld,"22007250,60001650,60023597",3,0.043981820847383085
384,Bart Freundlich,80170767,1,0.014660606949127693
385,Bas van Teylingen,81026329,1,0.014660606949127693
386,Basava Shankar Eeday,81194544,1,0.014660606949127693
387,Bassam Kurdali,70274390,1,0.014660606949127693
388,Bassam Tariq,81081656,1,0.014660606949127693
389,Basu Chatterjee,"60001404,81213896",2,0.029321213898255385
390,Bauddhayan Mukherji,80149282,1,0.014660606949127693
391,Baz Luhrmann,60022396,1,0.014660606949127693
392,Bedabrata Pain,80084756,1,0.014660606949127693
393,Bedran Güzel,"80227114,81043346,81132439",3,0.043981820847383085
394,Beeban Kidron,60026477,1,0.014660606949127693
395,Bejoy Nambiar,"80094096,80165855,80238293",3,0.043981820847383085
396,Ben A. Williams,80195885,1,0.014660606949127693
397,Ben Bowie,80135296,1,0.014660606949127693
398,Ben Brewer,80063773,1,0.014660606949127693
399,Ben C. Lucas,80190841,1,0.014660606949127693
400,Ben Foster,81023636,1,0.014660606949127693
401,Ben Howling,80161216,1,0.014660606949127693
402,Ben Palmer,80052612,1,0.014660606949127693
403,Ben Patterson,80197301,1,0.014660606949127693
404,Ben Pluimer,80088910,1,0.014660606949127693
405,Ben Ryder,80195835,1,0.014660606949127693
406,Ben Shelton,80164864,1,0.014660606949127693
407,Ben Steele,80185723,1,0.014660606949127693
408,Ben Wallis,"80198046,80224924",2,0.029321213898255385
409,Ben Wheatley,80091310,1,0.014660606949127693
410,Ben Young,80236421,1,0.014660606949127693
411,Benedict Andrews,80156408,1,0.014660606949127693
412,Benjamin Arfmann,80214581,1,0.014660606949127693
413,Benjamin Cohen,80208083,1,0.014660606949127693
414,Benjamin Dickinson,80115673,1,0.014660606949127693
415,Benjamin Ree,80118004,1,0.014660606949127693
416,Benjamin Ross,70243696,1,0.014660606949127693
417,Benjamin Turner,"80135360,80162144",2,0.029321213898255385
418,Benjamin Weill,80123742,1,0.014660606949127693
419,Benny Chan,70118801,1,0.014660606949127693
420,Benny Fine,80214580,1,0.014660606949127693
421,Benny Fredman,80106139,1,0.014660606949127693
422,Benoît Jacquot,80044536,1,0.014660606949127693
423,Benoît Philippon,80125818,1,0.014660606949127693
424,Benson Lee,80106230,1,0.014660606949127693
425,Bent-Jorgen Perlmutt,80191048,1,0.014660606949127693
426,Bernard Rose,347365,1,0.014660606949127693
427,Bernie Denk,81141689,1,0.014660606949127693
428,Bert Marcus,"80217120,81003741",2,0.029321213898255385
429,Bette Gordon,80183897,1,0.014660606949127693
430,Beyoncé Knowles-Carter,81013626,1,0.014660606949127693
431,Bhagyaraj,60002808,1,0.014660606949127693
432,Bharat Jain,80201826,1,0.014660606949127693
433,Bharat Nalluri,80081505,1,0.014660606949127693
434,Bhavik Thakore,80208115,1,0.014660606949127693
435,Bhushan Patel,80083752,1,0.014660606949127693
436,Bilal Lashari,80187467,1,0.014660606949127693
437,Bill D'Elia,"80029368,80133553",2,0.029321213898255385
438,Bill Guttentag,80075824,1,0.014660606949127693
439,Bill Oliver,81034599,1,0.014660606949127693
440,Bill Plympton,80017272,1,0.014660606949127693
441,Bille August,81073387,1,0.014660606949127693
442,Bille Woodruff,"70184050,80235025",2,0.029321213898255385
443,Billy Bob Thornton,973861,1,0.014660606949127693
444,Billy Corben,81047680,1,0.014660606949127693
445,Billy Lyons,81078456,1,0.014660606949127693
446,Billy Ray,80049281,1,0.014660606949127693
447,Bin Bunluerit,80224233,1,0.014660606949127693
448,Binayak Das,81154987,1,0.014660606949127693
449,Binu Ulahhannan,80998568,1,0.014660606949127693
450,Biodun Stephen,81172904,1,0.014660606949127693
451,Birkan Pusa,80038298,1,0.014660606949127693
452,Biswajeet Bora,80203782,1,0.014660606949127693
453,Biyi Bandele,80082739,1,0.014660606949127693
454,Björn Stein,70132228,1,0.014660606949127693
455,Blair Hayes,81050194,1,0.014660606949127693
456,Blake Harris,80166319,1,0.014660606949127693
457,Blayne Weaver,81152930,1,0.014660606949127693
458,Bo Burnham,"70295560,80106124,80167498",3,0.043981820847383085
459,Bo Welch,60031264,1,0.014660606949127693
460,Bob Hercules,80097361,1,0.014660606949127693
461,Bob Nelson,80094258,1,0.014660606949127693
462,Bob Odenkirk,60029032,1,0.014660606949127693
463,Bob Persichetti,81002747,1,0.014660606949127693
464,Bob Rose,80196217,1,0.014660606949127693
465,Bobby Farrelly,673843,1,0.014660606949127693
466,Bobby Roth,80232501,1,0.014660606949127693
467,Bobcat Goldthwait,"80106966,80177406,80213657",3,0.043981820847383085
